[Thu Apr 18 19:42:10 2024] ThreadID[37844]	Start Program.
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 5.092100 Y 0.000000 Z -3.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.026
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 7.064500 Y 0.000000 Z -3.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.027
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 9.064500 Y 0.000000 Z -3.887900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.028
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -9.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.029
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -7.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.030
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -5.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Diamond.002
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.093900 Y 0.004800 Z -3.867700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.031
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -11.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.032
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 13.213700 Y 0.000000 Z -11.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.034
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 9.013700 Y 0.000000 Z -13.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.035
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -13.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.036
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 13.213700 Y 0.000000 Z -13.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.037
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -15.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.038
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 13.213700 Y 0.000000 Z -15.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.040
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 9.013700 Y 0.000000 Z -17.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.041
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -17.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.042
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 13.213700 Y 0.000000 Z -17.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.033
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 9.013700 Y 0.000000 Z -11.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.039
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 9.013700 Y 0.000000 Z -15.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.043
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 17.413700 Y 0.000000 Z -11.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.044
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 18.947500 Y 0.000000 Z -11.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.045
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 15.313700 Y 0.000000 Z -13.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.046
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 17.413700 Y 0.000000 Z -13.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.047
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 18.947500 Y 0.000000 Z -13.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.048
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 17.413700 Y 0.000000 Z -15.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.049
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 18.947500 Y 0.000000 Z -15.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.050
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 15.313700 Y 0.000000 Z -17.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.051
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 17.413700 Y 0.000000 Z -17.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.052
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 18.947500 Y 0.000000 Z -17.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.053
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 15.313700 Y 0.000000 Z -11.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.054
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 15.313700 Y 0.000000 Z -15.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.055
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 4.813700 Y 0.000000 Z -11.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.056
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 6.913700 Y 0.000000 Z -11.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.057
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 3.268800 Y 0.000000 Z -13.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.058
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 4.813700 Y 0.000000 Z -13.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.059
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 6.913700 Y 0.000000 Z -13.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.060
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 4.813700 Y 0.000000 Z -15.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.061
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 6.913700 Y 0.000000 Z -15.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.062
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 3.268800 Y 0.000000 Z -17.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.063
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 4.813700 Y 0.000000 Z -17.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.064
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 6.913700 Y 0.000000 Z -17.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.065
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 3.268800 Y 0.000000 Z -11.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.066
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 3.268800 Y 0.000000 Z -15.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.067
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -19.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.068
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 13.213700 Y 0.000000 Z -19.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.069
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 9.013700 Y 0.000000 Z -21.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.070
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -21.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.071
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 13.213700 Y 0.000000 Z -21.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.072
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -23.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.073
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 13.213700 Y 0.000000 Z -23.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.074
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 9.013700 Y 0.000000 Z -25.631500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.075
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 11.113700 Y 0.000000 Z -25.631500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.076
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 13.213700 Y 0.000000 Z -25.631500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.077
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 9.013700 Y 0.000000 Z -19.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.078
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 9.013700 Y 0.000000 Z -23.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.079
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 17.413700 Y 0.000000 Z -19.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.080
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 18.947500 Y 0.000000 Z -19.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.081
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 15.313700 Y 0.000000 Z -21.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.082
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 17.413700 Y 0.000000 Z -21.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.083
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 18.947500 Y 0.000000 Z -21.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.084
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 17.413700 Y 0.000000 Z -23.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.085
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 18.947500 Y 0.000000 Z -23.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.086
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 15.313700 Y 0.000000 Z -25.631500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.087
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 17.413700 Y 0.000000 Z -25.631500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.088
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 18.947500 Y 0.000000 Z -25.631500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.089
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 15.313700 Y 0.000000 Z -19.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.090
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 15.313700 Y 0.000000 Z -23.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.091
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 4.813700 Y 0.000000 Z -19.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.092
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 6.913700 Y 0.000000 Z -19.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.093
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 3.268800 Y 0.000000 Z -21.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.094
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 4.813700 Y 0.000000 Z -21.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.095
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 6.913700 Y 0.000000 Z -21.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.096
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 4.813700 Y 0.000000 Z -23.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.097
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 6.913700 Y 0.000000 Z -23.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.098
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 3.268800 Y 0.000000 Z -25.631500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.099
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 4.813700 Y 0.000000 Z -25.631500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.100
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 6.913700 Y 0.000000 Z -25.631500
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.101
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 3.268800 Y 0.000000 Z -19.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.102
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X 3.268800 Y 0.000000 Z -23.938700
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.016
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -5.090900 Y -0.010900 Z -3.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.017
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -7.047800 Y -0.010900 Z -3.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.018
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -9.047800 Y -0.010900 Z -3.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.019
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -11.047800 Y -0.010900 Z -3.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.020
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -13.047800 Y -0.010900 Z -3.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.021
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -15.047800 Y -0.010900 Z -3.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.022
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -14.047800 Y -0.010900 Z -5.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.023
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -14.047800 Y -0.010900 Z -7.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.024
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -16.047800 Y -0.010900 Z -5.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.103
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -16.047800 Y -0.010900 Z -7.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.104
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Location: X -17.047800 Y -0.010900 Z -3.796900
[Thu Apr 18 19:42:10 2024] ThreadID[37844]	[INFO]	Model Detected: Floor_Standard.106
