[Thu Jun 13 18:29:04 2024] ThreadID[18524]	Start Program.
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -0.994000 Y 0.000000 Z -2.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.003
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 1.006000 Y 0.000000 Z -2.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.004
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -0.994000 Y 0.000000 Z -4.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.005
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 1.006000 Y 0.000000 Z -4.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.006
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -0.994000 Y 0.000000 Z -6.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.007
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 1.006000 Y 0.000000 Z -6.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.008
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -0.023300 Y 2.000000 Z -12.806500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.009
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -0.023300 Y 2.000000 Z -14.806500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.010
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -0.023300 Y 2.000000 Z -16.806499
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.011
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -2.090900 Y 1.989100 Z -16.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.012
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -4.047800 Y 1.989100 Z -16.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.013
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -6.047800 Y 1.989100 Z -16.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.014
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -8.047800 Y 1.989100 Z -16.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.015
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -10.047800 Y 1.989100 Z -16.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Diamond
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 3.046600 Y 0.000000 Z -3.867700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Diamond.001
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -3.033000 Y 0.000000 Z -3.856700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.025
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 5.092100 Y 0.000000 Z -3.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.026
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 7.064500 Y 0.000000 Z -3.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.027
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 9.064500 Y 0.000000 Z -3.887900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.028
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -9.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.029
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -7.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.030
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -5.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Diamond.002
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.093900 Y 0.004800 Z -3.867700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.031
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -11.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.032
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 13.213700 Y 0.000000 Z -11.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.034
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 9.013700 Y 0.000000 Z -13.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.035
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -13.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.036
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 13.213700 Y 0.000000 Z -13.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.037
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -15.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.038
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 13.213700 Y 0.000000 Z -15.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.040
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 9.013700 Y 0.000000 Z -17.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.041
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -17.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.042
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 13.213700 Y 0.000000 Z -17.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.033
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 9.013700 Y 0.000000 Z -11.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.039
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 9.013700 Y 0.000000 Z -15.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.043
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 17.413700 Y 0.000000 Z -11.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.044
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 18.947500 Y 0.000000 Z -11.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.045
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 15.313700 Y 0.000000 Z -13.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.046
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 17.413700 Y 0.000000 Z -13.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.047
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 18.947500 Y 0.000000 Z -13.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.048
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 17.413700 Y 0.000000 Z -15.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.049
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 18.947500 Y 0.000000 Z -15.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.050
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 15.313700 Y 0.000000 Z -17.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.051
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 17.413700 Y 0.000000 Z -17.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.052
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 18.947500 Y 0.000000 Z -17.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.053
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 15.313700 Y 0.000000 Z -11.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.054
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 15.313700 Y 0.000000 Z -15.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.055
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 4.813700 Y 0.000000 Z -11.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.056
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 6.913700 Y 0.000000 Z -11.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.057
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 3.268800 Y 0.000000 Z -13.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.058
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 4.813700 Y 0.000000 Z -13.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.059
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 6.913700 Y 0.000000 Z -13.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.060
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 4.813700 Y 0.000000 Z -15.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.061
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 6.913700 Y 0.000000 Z -15.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.062
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 3.268800 Y 0.000000 Z -17.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.063
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 4.813700 Y 0.000000 Z -17.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.064
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 6.913700 Y 0.000000 Z -17.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.065
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 3.268800 Y 0.000000 Z -11.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.066
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 3.268800 Y 0.000000 Z -15.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.067
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -19.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.068
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 13.213700 Y 0.000000 Z -19.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.069
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 9.013700 Y 0.000000 Z -21.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.070
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -21.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.071
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 13.213700 Y 0.000000 Z -21.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.072
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -23.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.073
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 13.213700 Y 0.000000 Z -23.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.074
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 9.013700 Y 0.000000 Z -25.631500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.075
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 11.113700 Y 0.000000 Z -25.631500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.076
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 13.213700 Y 0.000000 Z -25.631500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.077
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 9.013700 Y 0.000000 Z -19.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.078
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 9.013700 Y 0.000000 Z -23.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.079
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 17.413700 Y 0.000000 Z -19.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.080
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 18.947500 Y 0.000000 Z -19.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.081
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 15.313700 Y 0.000000 Z -21.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.082
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 17.413700 Y 0.000000 Z -21.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.083
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 18.947500 Y 0.000000 Z -21.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.084
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 17.413700 Y 0.000000 Z -23.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.085
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 18.947500 Y 0.000000 Z -23.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.086
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 15.313700 Y 0.000000 Z -25.631500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.087
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 17.413700 Y 0.000000 Z -25.631500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.088
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 18.947500 Y 0.000000 Z -25.631500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.089
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 15.313700 Y 0.000000 Z -19.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.090
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 15.313700 Y 0.000000 Z -23.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.091
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 4.813700 Y 0.000000 Z -19.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.092
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 6.913700 Y 0.000000 Z -19.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.093
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 3.268800 Y 0.000000 Z -21.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.094
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 4.813700 Y 0.000000 Z -21.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.095
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 6.913700 Y 0.000000 Z -21.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.096
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 4.813700 Y 0.000000 Z -23.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.097
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 6.913700 Y 0.000000 Z -23.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.098
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 3.268800 Y 0.000000 Z -25.631500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.099
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 4.813700 Y 0.000000 Z -25.631500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.100
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 6.913700 Y 0.000000 Z -25.631500
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.101
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 3.268800 Y 0.000000 Z -19.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.102
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X 3.268800 Y 0.000000 Z -23.938700
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.016
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -5.090900 Y -0.010900 Z -3.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.017
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -7.047800 Y -0.010900 Z -3.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.018
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -9.047800 Y -0.010900 Z -3.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.019
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -11.047800 Y -0.010900 Z -3.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.020
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -13.047800 Y -0.010900 Z -3.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.021
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -15.047800 Y -0.010900 Z -3.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.022
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -14.047800 Y -0.010900 Z -5.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.023
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -14.047800 Y -0.010900 Z -7.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.024
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -16.047800 Y -0.010900 Z -5.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.103
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -16.047800 Y -0.010900 Z -7.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.104
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Location: X -17.047800 Y -0.010900 Z -3.796900
[Thu Jun 13 18:29:04 2024] ThreadID[18524]	[INFO]	Model Detected: Floor_Standard.106
